,Number,F true,F guess,d true,d guess,MAE guess,MAE ground truth,MAE spectrum
0,0.0,-0.8867285389293839,-0.8861502408981323,-0.8363678046035191,-0.8368077278137207,0.000509113073348999,0.005893789697438479,0.0024621349293738604
1,1.0,-0.8040922961075716,-0.8041820526123047,0.8044212402192024,0.8048645853996277,0.00026655197143554693,0.012760055251419544,0.012412002310156822
2,2.0,-0.5574147192123258,-0.5601898431777954,-0.027618855729449457,-0.027509575709700584,0.0014422060921788216,0.006976585369557142,0.006982889026403427
3,3.0,-0.9898360487051964,-0.9839994311332704,-0.6999870959930842,-0.8626437187194824,0.08424660563468933,0.002496375702321529,0.026667460799217224
4,4.0,-0.9777341587588488,-0.977194845676422,-0.3781561645711207,-0.37900757789611816,0.0006953626871109009,0.002611055970191956,0.002043494489043951
5,5.0,-0.8247995927374537,-0.8264281153678894,0.681824905823995,0.6811656355857849,0.0011439025402069092,0.009900487959384918,0.008963996544480324
6,6.0,-0.8564913968747507,-0.8572981357574463,-0.2311445365459827,-0.23115700483322146,0.0004096105694770813,0.003216193988919257,0.003101111622527241
7,7.0,-0.9241923763960296,-0.9233909249305724,-0.7911951866518397,-0.792441725730896,0.0010239779949188232,0.0037457228172570467,0.0039105559699237355
8,8.0,-0.4214808865560463,-0.42377158999443054,-0.7169324599550008,-0.7170939445495605,0.001226082444190979,0.004269747529178858,0.003845374565571547
9,9.0,-0.8440420591509914,-0.8440566658973694,-0.41705986895181296,-0.4169110953807831,8.168816566467285e-05,0.0027804016135632987,0.002724884077906609
10,10.0,-0.7327330669972901,-0.7353099584579468,-0.11357763566008165,-0.11376018822193144,0.0013797208666801453,0.00472181523218751,0.004176635295152664
11,11.0,-0.6771688580188661,-0.6799872517585754,-0.2250422500884587,-0.22534140944480896,0.0015587806701660154,0.005167276132851839,0.00447811046615243
12,12.0,-0.5785912910618786,-0.576977014541626,-0.7283426152308046,-0.7286803126335144,0.0009759962558746338,0.0037074964493513107,0.002926544286310673
13,13.0,-0.7641368300932234,-0.7630431056022644,-0.1476966484914553,-0.1480027288198471,0.0006999149918556213,0.004941477905958891,0.004113730043172836
14,14.0,-0.966989657401422,-0.9474795460700988,-0.6919835781217679,-0.8597500920295715,0.09363830089569093,0.00227551837451756,0.06438969075679779
15,15.0,-0.9600712539863592,-0.9599452018737792,-0.5708309616426165,-0.5710195302963257,0.00015732645988464355,0.0017312467098236086,0.0017597982659935953
16,16.0,-0.8554871977999271,-0.8552646040916443,-0.1630133804200892,-0.1631707400083542,0.0001899898052215576,0.0030420059338212013,0.002956037409603596
17,17.0,-0.7539017722978947,-0.7548462748527527,0.17923793828622142,0.17890727519989014,0.0006375759840011598,0.0063833403401076785,0.005641494877636433
18,18.0,-0.9361691418400152,-0.8962408900260925,-0.6883913210962662,-0.860565185546875,0.10605105757713318,0.0022310500498861074,0.11333051323890685
19,19.0,-0.6858004978025793,-0.6882803440093994,-0.25045208120213275,-0.2508049309253693,0.0014163553714752195,0.005475939717143774,0.004803975112736225
20,20.0,-0.7778628528334409,-0.778105616569519,0.11631985406065927,0.1157684475183487,0.0003970898687839508,0.007634377107024194,0.005128375720232725
21,21.0,-0.8035388034885238,-0.8034015893936157,0.10704179121902667,0.10680367052555084,0.00018766522407531736,0.005197705235332251,0.0045968680642545215
22,22.0,-0.8503211951447243,-0.8503021597862244,-0.8262473528917474,-0.8268930315971375,0.0003323554992675781,0.005732689984142779,0.0018031074432656171
23,23.0,-0.9156486011214092,-0.9151837825775146,-0.5034546252759884,-0.503870964050293,0.0004405677318572998,0.002842850750312209,0.0032248711213469505
24,24.0,0.8760107520045458,-0.15770480036735535,-0.1105281616616457,-0.11110459268093108,0.5171459913253784,0.02323191426694393,0.09738689661026
25,25.0,-0.8867285389293839,-0.8876348733901978,-0.25196710675894474,-0.2521882653236389,0.0005637556314468384,0.0032005226239562035,0.003068004734814167
26,26.0,-0.9370036150215092,-0.936357319355011,-0.8047440309991666,-0.8053958415985107,0.0006490647792816162,0.0039873402565717714,0.0020645111799240112
27,27.0,-0.8032508731546982,-0.8051180243492126,-0.09172254565182594,-0.09167273342609407,0.0009584948420524596,0.004084941931068897,0.0038732981774955992
28,28.0,-0.794832332933173,-0.7946852445602417,-0.6573551590609419,-0.6577936410903931,0.00029280781745910645,0.004053929354995489,0.002526954747736454
29,29.0,-0.929075834950192,-0.9293307662010192,-0.3482687061529541,-0.3483546078205109,0.00017040967941284182,0.002738851821050048,0.002790680853649974
30,30.0,-0.8554871977999271,-0.8550140857696533,-0.8458182542879112,-0.8462677001953125,0.00046128034591674805,0.005572604946792126,0.002195529406890273
31,31.0,-0.7812404463790054,-0.7788718938827515,0.7474997609976329,0.7473350167274475,0.0012666583061218262,0.00965165626257658,0.009423783980309963
32,32.0,-0.8480081578411146,-0.8484528660774231,0.004429331185963835,0.00412700092419982,0.00037352018989622593,0.005075609777122736,0.004488689824938774
33,33.0,-0.8192114494575218,-0.8196810483932495,0.5600472157414011,0.5593687891960144,0.0005740225315093994,0.008173873648047447,0.005556547548621893
34,34.0,-0.9641077503747492,-0.9638922214508056,-0.050852063933992366,-0.050563368946313865,0.0002521127462387085,0.0037994778249412775,0.003209554590284825
35,35.0,-0.9357098409611778,-0.9361057877540588,-0.5349220812402443,-0.5350000858306885,0.00023698806762695312,0.002138374373316765,0.002156609203666449
36,36.0,-0.1611875620623033,-0.28619712591171265,0.27451300774282433,0.2740921080112457,0.06271523237228394,0.015907954424619675,0.02619250304996968
37,37.0,-0.7539017722978947,-0.7521526217460632,-0.3121112026663708,-0.31231391429901123,0.0009759366512298584,0.003872917266562581,0.003441066248342395
38,38.0,-0.9121792717086832,-0.8287444114685059,-0.9148789346253822,-0.7331451177597046,0.1325843632221222,0.003756638150662184,0.14668849110603333
39,39.0,-0.9972096668454616,-0.9955396056175232,-0.7214682200106112,-0.8687592148780823,0.07448053359985353,0.0022933047730475664,0.008667992427945137
40,40.0,-0.9739552657590156,-0.973280668258667,-0.811805610856873,-0.8109928965568542,0.0007436573505401611,0.003240652149543166,0.005496022757142782
41,41.0,-0.6886745495586989,-0.6858739852905273,0.3616893140162996,0.3615776598453522,0.0014561116695404053,0.005849118810147047,0.0056238975375890714
42,42.0,-0.3478171632289273,-0.3684735298156738,-0.5342046157195869,-0.5344099998474121,0.010430887341499329,0.0058894171379506605,0.007337124552577734
43,43.0,-0.817828239567781,-0.8174008131027222,-0.8181765952030325,-0.8185765743255615,0.00041371583938598633,0.0059120478108525285,0.0026067269500344987
44,44.0,-0.9537184314172816,-0.9543340802192688,-0.7623617299940698,-0.7630921006202698,0.0006730258464813232,0.003053572494536639,0.002781470771878957
45,45.0,-0.639580179688428,-0.6414160132408142,0.2652698038794762,0.2651031315326691,0.0010012537240982056,0.005286303348839283,0.004960227757692337
46,46.0,-0.7139783500613286,-0.7155771255493164,0.5421063785712935,0.5412582159042358,0.0012234747409820554,0.009912549518048763,0.0065656225197017175
