,Number,F true,F guess,d true,d guess,MAE ground truth,MAE spectrum
58,58.0,-0.9846177207725194,-0.9844169020652772,-0.2804982815783209,-0.2802152931690216,0.002290596254169941,0.0019608153961598873
59,59.0,-0.9745563172063902,-0.9744830131530762,-0.3487714118323959,-0.3486396670341492,0.0018050638027489183,0.0017180100549012425
60,60.0,-0.9951571687498528,-0.9971964955329896,-0.5703720092024415,-0.4458444714546204,0.003098655957728625,0.020645542070269585
61,61.0,-0.864612027566562,-0.8651602864265442,0.02321926243086744,0.023243870586156845,0.002544298768043518,0.002405931241810322
62,62.0,-0.7100375663483539,-0.7113538980484009,-0.8036199091574512,-0.8037383556365967,0.002741296077147126,0.002096650656312704
63,63.0,-0.8151860216490713,-0.8167170882225037,-0.3940329551588722,-0.3941211998462677,0.0030224996153265238,0.002576249185949564
64,64.0,-0.7603219522043048,-0.7607125639915466,0.06174668257301125,0.061886820942163474,0.0038101112004369493,0.0037611597217619423
65,65.0,-0.445191997250239,-0.4550532698631287,0.4033780675453733,0.4036256670951843,0.006693428382277489,0.006415202748030424
66,66.0,-0.9097269182182676,-0.9095641970634459,-0.5408884253704244,-0.5409852266311646,0.002045685658231377,0.00200384552590549
67,67.0,-0.5846906481730786,-0.5858833193778992,-0.141648180566565,-0.1418559104204178,0.004126652143895626,0.0038354452699422854
68,68.0,-0.9825140107031364,-0.9822613000869752,-0.6768200763786505,-0.6772745251655579,0.002509670797735453,0.0017211654921993613
69,69.0,-0.6967494812105767,-0.6993204355239868,-0.8008773101003488,-0.8010877966880798,0.0027522873133420944,0.0023769426625221968
70,70.0,-0.8640710360113655,-0.8642007112503052,0.4047814361534712,0.4047154188156128,0.0036037277895957227,0.003505242057144643
71,71.0,-0.9203730439250888,-0.9204918146133424,-0.2984694542608342,-0.29840201139450073,0.0019204979762434962,0.0018889737548306587
72,72.0,-0.8880976806864314,-0.8877289295196533,-0.3407142693568384,-0.340613067150116,0.002302042907103896,0.0020472980104386806
